Strain,Genus,Species,Family,Order,Class,Division,Domain
C. albicans,Candida,albicans,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya
C. glabrata,Candida,glabrata,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota,Eukarya
K. aerogenes,Klebsiella,aerogenes,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
E. coli 1,Escherichia,coli,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
E. coli 2,Escherichia,coli,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
E. faecium,Enterococcus,faecium,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
E. faecalis 1,Enterococcus,faecalis,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
E. faecalis 2,Enterococcus,faecalis,Enterococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
E. cloacae,Enterobacter,cloacae,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
K. pneumoniae 1,Klebsiella,pneumoniae,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
K. pneumoniae 2,Klebsiella,pneumoniae,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
P. mirabilis,Proteus,mirabilis,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
P. aeruginosa 1,Pseudomonas,aeruginosa,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria
P. aeruginosa 2,Pseudomonas,aeruginosa,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria,Pseudomonadota,Bacteria
MSSA 1,Staphylococcus,aureus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria
MSSA 2,Staphylococcus,aureus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria
MSSA 3,Staphylococcus,aureus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria
MRSA 1,Staphylococcus,aureus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria
MRSA 2,Staphylococcus,aureus,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria
S. enterica,Salmonella,enterica,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
S. epidermidis,Staphylococcus,epidermidis,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria
S. lugdunensis,Staphylococcus,lugdunensis,Staphylococcaceae,Bacillales,Bacilli,Bacillota,Bacteria
S. marcescens,Serratia,marcescens,Yersiniaceae,Enterobacterales,Gammaproteobacteria,Pseudomonadota,Bacteria
S. pneumoniae 1,Streptococcus,pneumoniae,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
S. pneumoniae 2,Streptococcus,pneumoniae,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
S. sanguinis,Streptococcus,sanguinis,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
Group A Strep.,Streptococcus,pyogenes,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
Group B Strep.,Streptococcus,agalactiae,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
Group C Strep.,Streptococcus,dysgalactiae,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
Group G Strep.,Streptococcus,dysgalactiae,Streptococcaceae,Lactobacillales,Bacilli,Bacillota,Bacteria
